Instrument,Pointsize,PerTrade,AssetClass,PerBlock,Description,Percentage,Currency,Slippage
10YTNote_JLSB,50,0,bond,0,10-Year T-Note Decimalised,0,GBP,1
2YTNote_JLSB,50,0,bond,0,2-Year T-Note Decimalised,0,GBP,0.5
3mEurodollar_JLSB,50,0,stir,0,3-month Eurodollar,0,GBP,0.4
5YTNote_JLSB,50,0,bond,0,5-Year T-Note Decimalised,0,GBP,0.5
AUDUSD_JLSB,1000,0,fx,0,AUD/USD,0,GBP,5
Bobl_JLSB,50,0,bond,0,Bobl,0,GBP,0.5
Bund_JLSB,50,0,bond,0,Bund,0,GBP,0.5
Buxl_JLSB,50,0,bond,0,Buxl,0,GBP,0.5
CarbonEmissions_JLSB,25,0,energy,0,Carbon Emissions,0,GBP,0.75
ChicagoWheat_JLSB,5,0,ags,0,Chicago Wheat,0,GBP,2.5
ChinaHShares_JLSB,0.5,0,equity,0,China H-Shares,0,GBP,3
CoffeeArabica_JLSB,50,0,ags,0,Coffee Arabica,0,GBP,10
CoffeeRobusta_JLSB,2,0,ags,0,Coffee Robusta,0,GBP,4
Corn_JLSB,10,0,ags,0,Corn,0,GBP,5
Euribor_JLSB,50,0,stir,0,Euribor,0,GBP,0.25
EURUSD_JLSB,5000,0,fx,0,EUR/USD,0,GBP,2.5
France40_JLSB,1,0,equity,0,France 40,0,GBP,3
FTSE100_JLSB,0.5,0,equity,0,FTSE 100,0,GBP,1
GBPUSD_JLSB,5000,0,fx,0,GBP/USD,0,GBP,2.25
Germany40_JLSB,0.5,0,equity,0,Germany 40,0,GBP,0.75
Gold_JLSB,1,0,metals,0,Gold,0,GBP,0.3
HeatingOil_JLSB,5000,0,energy,0,Heating Oil,0,GBP,7.5
HighGradeCopper_JLSB,2500,0,metals,0,High Grade Copper,0,GBP,5
HongKongHS50_JLSB,0.1,0,equity,0,Hong Kong HS50,0,GBP,0.8
Japan225_JLSB,0.5,0,equity,0,Japan 225,0,GBP,5
LeanHogs_JLSB,10,0,ags,0,Lean Hogs,0,GBP,0.75
LiveCattle_JLSB,50,0,ags,0,Live Cattle,0,GBP,5
LondonGasOil_JLSB,20,0,energy,0,London Gas Oil,0,GBP,10
LondonSugarNo5_JLSB,0.1,0,ags,0,London Sugar No. 5,0,GBP,0.04
LongGilt_JLSB,50,0,bond,0,Long Gilt,0,GBP,0.5
LongTermBTP_JLSB,50,0,bond,0,Long-Term BTP,0,GBP,1
Lumber_JLSB,100,0,ags,0,Lumber,0,GBP,5
NaturalGas_JLSB,500,0,energy,0,Natural Gas,0,GBP,5
NewYorkCocoa_JLSB,1,0,ags,0,New York Cocoa,0,GBP,4
NoLeadGasoline_JLSB,5000,0,energy,0,No Lead Gasoline,0,GBP,7.5
NYCotton_JLSB,50,0,ags,0,NY Cotton,0,GBP,6.25
NYOrangeJuice_JLSB,50,0,ags,0,NY Orange Juice,0,GBP,10
NYSugarNo11_JLSB,200,0,ags,0,NY Sugar No. 11,0,GBP,5
NZDUSD_JLSB,1000,0,fx,0,NZD/USD,0,GBP,2
OATFGB_JLSB,50,0,bond,0,OAT French Government Bond,0,GBP,1
Oats_JLSB,15,0,ags,0,Oats,0,GBP,7.5
OilBrent_JLSB,25,0,energy,0,Oil - Brent Crude,0,GBP,0.75
OilUSCrude_JLSB,25,0,energy,0,Oil - US Crude,0,GBP,0.75
Palladium_JLSB,2,0,metals,0,Palladium,0,GBP,2
Platinum_JLSB,3,0,metals,0,Platinum,0,GBP,3
RoughRice_JLSB,50,0,ags,0,Rough Rice,0,GBP,10
Schatz_JLSB,50,0,bond,0,Schatz,0,GBP,0.25
ShortTermBTP_JLSB,50,0,bond,0,Short-Term BTP,0,GBP,1
Silver_JLSB,100,0,metals,0,Silver,0,GBP,1.5
SoybeanMeal_JLSB,25,0,ags,0,Soybean Meal,0,GBP,10
SoybeanOil_JLSB,100,0,ags,0,Soybean Oil,0,GBP,5
Soybeans_JLSB,3,0,ags,0,Soybeans,0,GBP,3
TreasuryBond_JLSB,50,0,bond,0,Treasury Bond Decimalised,0,GBP,1
UKNaturalGas_JLSB,2.5,0,energy,0,UK Natural Gas,0,GBP,1.25
UltraTreasuryBond_JLSB,50,0,bond,0,Ultra Treasury Bond Decimalised,0,GBP,1
US500_JLSB,1,0,equity,0,US 500,0,GBP,0.5
USRussell2000_JLSB,2,0,equity,0,US Russell 2000,0,GBP,0.5
USTech100_JLSB,0.5,0,equity,0,US Tech 100,0,GBP,0.75
USDCAD_JLSB,5000,0,fx,0,USD/CAD,0,GBP,1.5
USDCHF_JLSB,10000,0,fx,0,USD/CHF,0,GBP,4
USDJPY_JLSB,5000,0,fx,0,USD/JPY,0,GBP,2.25
VolatilityIndex_JLSB,100,0,volatility,0,Volatility Index,0,GBP,5
WallStreet_JLSB,0.2,0,equity,0,Wall Street,0,GBP,0.6
