Instrument,HoldRollCycle,RollOffsetDays,CarryOffset,PricedRollCycle,ExpiryOffset
10YTNote_JLSB,HMUZ,-5,1,HMUZ,19
2YTNote_JLSB,HMUZ,-5,1,HMUZ,27
3mEurodollar_JLSB,HMUZ,-90,-1,HMUZ,17
5YTNote_JLSB,HMUZ,-5,1,HMUZ,24
AUDUSD_JLSB,HMUZ,-5,1,HMUZ,14
Bobl_JLSB,HMUZ,-5,1,HMUZ,7
Bund_JLSB,HMUZ,-5,1,HMUZ,7
Buxl_JLSB,HMUZ,-5,1,HMUZ,6
CarbonEmissions_JLSB,HMUZ,-5,1,FGHJKMNQUVXZ,24
ChicagoWheat_JLSB,HKNUZ,-5,1,HKNUZ,16
ChinaHShares_JLSB,HMUZ,-5,1,FGHJKMNQUVXZ,28
CoffeeArabica_JLSB,HKNUZ,-5,1,HKNUZ,19
CoffeeRobusta_JLSB,FHKNUX,-5,1,FHKNUX,28
Corn_JLSB,HKNUZ,-5,1,HKNUZ,16
Euribor_JLSB,HMUZ,-270,-1,HMUZ,15
EURUSD_JLSB,HMUZ,-5,1,HMUZ,15
France40_JLSB,HMUZ,-120,-1,FGHJKMNQUVXZ,23
FTSE100_JLSB,HMUZ,-5,1,HMUZ,20
GBPUSD_JLSB,HMUZ,-5,1,HMUZ,15
Germany40_JLSB,HMUZ,-5,1,HMUZ,17
Gold_JLSB,GJMQZ,-5,1,GJMQZ,26
HeatingOil_JLSB,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,-1
HighGradeCopper_JLSB,HKNUZ,-5,1,HKNUZ,26
HongKongHS50_JLSB,HMUZ,-5,1,FGHJKMNQUVXZ,28
Japan225_JLSB,HMUZ,-5,1,HMUZ,8
LeanHogs_JLSB,GJMNQVZ,-5,1,GJMNQVZ,16
LiveCattle_JLSB,GJMQVZ,-5,1,GJMQVZ,24
LondonGasOil_JLSB,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,10
LondonSugarNo5_JLSB,HKQVZ,-180,-1,HKQVZ,-16
LongGilt_JLSB,HMUZ,-5,1,HMUZ,26
LongTermBTP_JLSB,HMUZ,-5,1,HMUZ,6
Lumber_JLSB,FHKNUX,-5,1,FHKNUX,13
NaturalGas_JLSB,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,1
NewYorkCocoa_JLSB,HKNUZ,-5,1,HKNUZ,15
NoLeadGasoline_JLSB,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,-1
NYCotton_JLSB,HKNZ,-5,1,HKNZ,7
NYOrangeJuice_JLSB,FHKNUX,-5,1,FHKNUX,13
NYSugarNo11_JLSB,HKNV,-5,1,HKNV,-1
NZDUSD_JLSB,HMUZ,-5,1,HMUZ,15
OATFGB_JLSB,HMUZ,-5,1,HMUZ,4
Oats_JLSB,HKNUZ,-5,1,HKNUZ,16
OilBrent_JLSB,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,-20
OilUSCrude_JLSB,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,-5
Palladium_JLSB,HMUZ,-5,1,HMUZ,25
Platinum_JLSB,FJNV,-5,1,FJNV,24
RoughRice_JLSB,FHKNUX,-5,1,FHKNUX,16
Schatz_JLSB,HMUZ,-90,-1,HMUZ,5
ShortTermBTP_JLSB,HMUZ,-5,1,HMUZ,5
Silver_JLSB,HKNUZ,-5,1,HKNUZ,26
SoybeanMeal_JLSB,FHKNQUVZ,-5,1,FHKNQUVZ,16
SoybeanOil_JLSB,FHKNZ,-5,1,FHKNZ,16
Soybeans_JLSB,FHKNX,-5,1,FHKNX,16
TreasuryBond_JLSB,HMUZ,-450,-1,HMUZ,19
UKNaturalGas_JLSB,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,-3
UltraTreasuryBond_JLSB,HMUZ,-5,1,HMUZ,19
US500_JLSB,HMUZ,-5,1,HMUZ,17
USRussell2000_JLSB,HMUZ,-5,1,HMUZ,17
USTech100_JLSB,HMUZ,-5,1,HMUZ,17
USDCAD_JLSB,HMUZ,-90,-1,HMUZ,16
USDCHF_JLSB,HMUZ,-5,1,HMUZ,15
USDJPY_JLSB,HMUZ,-5,1,HMUZ,15
VolatilityIndex_JLSB,FGHJKMNQUVXZ,-5,1,FGHJKMNQUVXZ,17
WallStreet_JLSB,HMUZ,-5,1,HMUZ,17
