Instrument,AssetClass,class weight,weights
ChicagoWheat_JLSB,ags,0.15,0.00882
CoffeeArabica_JLSB,ags,,0.00882
CoffeeRobusta_JLSB,ags,,0.00882
Corn_JLSB,ags,,0.00882
LeanHogs_JLSB,ags,,0.00882
LiveCattle_JLSB,ags,,0.00882
LondonSugarNo5_JLSB,ags,,0.00882
Lumber_JLSB,ags,,0.00882
NewYorkCocoa_JLSB,ags,,0.00882
NYCotton_JLSB,ags,,0.00882
NYOrangeJuice_JLSB,ags,,0.00882
NYSugarNo11_JLSB,ags,,0.00882
Oats_JLSB,ags,,0.00882
RoughRice_JLSB,ags,,0.00882
SoybeanMeal_JLSB,ags,,0.00882
SoybeanOil_JLSB,ags,,0.00882
Soybeans_JLSB,ags,,0.00882
10YTNote_JLSB,bond,0.17,0.01308
2YTNote_JLSB,bond,,0.01308
5YTNote_JLSB,bond,,0.01308
Bobl_JLSB,bond,,0.01308
Bund_JLSB,bond,,0.01308
Buxl_JLSB,bond,,0.01308
LongGilt_JLSB,bond,,0.01308
LongTermBTP_JLSB,bond,,0.01308
OATFGB_JLSB,bond,,0.01308
Schatz_JLSB,bond,,0.01308
ShortTermBTP_JLSB,bond,,0.01308
TreasuryBond_JLSB,bond,,0.01308
UltraTreasuryBond_JLSB,bond,,0.01308
CarbonEmissions_JLSB,energy,0.13,0.01625
HeatingOil_JLSB,energy,,0.01625
LondonGasOil_JLSB,energy,,0.01625
NaturalGas_JLSB,energy,,0.01625
NoLeadGasoline_JLSB,energy,,0.01625
OilBrent_JLSB,energy,,0.01625
OilUSCrude_JLSB,energy,,0.01625
UKNaturalGas_JLSB,energy,,0.01625
ChinaHShares_JLSB,equity,0.22,0.02200
France40_JLSB,equity,,0.02200
FTSE100_JLSB,equity,,0.02200
Germany40_JLSB,equity,,0.02200
HongKongHS50_JLSB,equity,,0.02200
Japan225_JLSB,equity,,0.02200
US500_JLSB,equity,,0.02200
USRussell2000_JLSB,equity,,0.02200
USTech100_JLSB,equity,,0.02200
WallStreet_JLSB,equity,,0.02200
AUDUSD_JLSB,fx,0.13,0.01857
EURUSD_JLSB,fx,,0.01857
GBPUSD_JLSB,fx,,0.01857
NZDUSD_JLSB,fx,,0.01857
USDCAD_JLSB,fx,,0.01857
USDCHF_JLSB,fx,,0.01857
USDJPY_JLSB,fx,,0.01857
Gold_JLSB,metals,0.13,0.02600
HighGradeCopper_JLSB,metals,,0.02600
Palladium_JLSB,metals,,0.02600
Platinum_JLSB,metals,,0.02600
Silver_JLSB,metals,,0.02600
3mEurodollar_JLSB,stir,0.02,0.01000
Euribor_JLSB,stir,,0.01000
VolatilityIndex_JLSB,volatility,0.05,0.05000
